"V1","text"
"As he pulled into the driveway of number four, the first thing he saw —","book 1"
"and it didn’t improve his mood — was the tabby cat he’d spotted that morning. It","book 1"
"was now sitting on his garden wall. He was sure it was the same one; it had the","book 1"
"same markings around its eyes.","book 1"
"“Shoo!” said Mr. Dursley loudly.","book 1"
"The cat didn’t move. It just gave him a stern look. Was this normal cat","book 1"
"behavior? Mr. Dursley wondered. Trying to pull himself together, he let himself","book 1"
"into the house. He was still determined not to mention anything to his wife.","book 1"
"Mrs. Dursley had had a nice, normal day. She told him over dinner all","book 1"
"about Mrs. Next Door’s problems with her daughter and how Dudley had","book 1"
"learned a new word (“Won’t!”). Mr. Dursley tried to act normally. When Dudley","book 1"
"had been put to bed, he went into the living room in time to catch the last report","book 1"
"on the evening news:","book 1"
"“And finally, bird-watchers everywhere have reported that the nation’s","book 1"
"owls have been behaving very unusually today. Although owls normally hunt at","book 1"
"night and are hardly ever seen in daylight, there have been hundreds of sightings","book 1"
"of these birds flying in every direction since sunrise. Experts are unable to","book 1"
"explain why the owls have suddenly changed their sleeping pattern.” The","book 1"
"newscaster allowed himself a grin. “Most mysterious. And now, over to Jim","book 1"
"McGuffin with the weather. Going to be any more showers of owls tonight,","book 1"
"Jim?”","book 1"
"“Well, Ted,” said the weatherman, “I don’t know about that, but it’s not","book 1"
"only the owls that have been acting oddly today. Viewers as far apart as Kent,","book 1"
"Yorkshire, and Dundee have been phoning in to tell me that instead of the rain I","book 1"
"promised yesterday, they’ve had a downpour of shooting stars! Perhaps people","book 1"
"have been celebrating Bonfire Night early — it’s not until next week, folks! But","book 1"
"I can promise a wet night tonight.”","book 1"
"Mr. Dursley sat frozen in his armchair. Shooting stars all over Britain?","book 1"
"Owls flying by daylight? Mysterious people in cloaks all over the place? And a","book 1"
"whisper, a whisper about the Potters.…","book 1"
"Mrs. Dursley came into the living room carrying two cups of tea. It was","book 1"
"no good. He’d have to say something to her. He cleared his throat nervously. “Er","book 1"
"— Petunia, dear — you haven’t heard from your sister lately, have you?”","book 1"
"As he had expected, Mrs. Dursley looked shocked and angry. After all,","book 1"
"they normally pretended she didn’t have a sister.","book 1"
"“No,” she said sharply. “Why?”","book 1"
"“Funny stuff on the news,” Mr. Dursley mumbled. “Owls…shooting","book 1"
"stars…and there were a lot of funny-looking people in town today.…”","book 1"
"“So?” snapped Mrs. Dursley.","book 1"
"“Well, I just thought…maybe…it was something to do with…you","book 1"
"know…her crowd.”","book 1"
"Mrs. Dursley sipped her tea through pursed lips. Mr. Dursley wondered","book 1"
"whether he dared tell her he’d heard the name “Potter.” He decided he didn’t","book 1"
"dare. Instead he said, as casually as he could, “Their son — he’d be about","book 1"
"Dudley’s age now, wouldn’t he?”","book 1"
"“I suppose so,” said Mrs. Dursley stiffly.","book 1"
"“What’s his name again? Howard, isn’t it?”","book 1"
"“Harry. Nasty, common name, if you ask me.”","book 1"
"“Oh, yes,” said Mr. Dursley, his heart sinking horribly. “Yes, I quite","book 1"
"agree.”","book 1"
"He didn’t say another word on the subject as they went upstairs to bed.","book 1"
"While Mrs. Dursley was in the bathroom, Mr. Dursley crept to the bedroom","book 1"
"window and peered down into the front garden. The cat was still there. It was","book 1"
"staring down Privet Drive as though it were waiting for something.","book 1"
"Was he imagining things? Could all this have anything to do with the","book 1"
"Potters? If it did...if it got out that they were related to a pair of — well, he didn’t","book 1"
"think he could bear it.","book 1"
"The Dursleys got into bed. Mrs. Dursley fell asleep quickly but Mr.","book 1"
"Dursley lay awake, turning it all over in his mind. His last, comforting thought","book 1"
"before he fell asleep was that even if the Potters were involved, there was no","book 1"
"reason for them to come near him and Mrs. Dursley. The Potters knew very well","book 1"
"what he and Petunia thought about them and their kind....He couldn’t see how he","book 1"
"and Petunia could get mixed up in anything that might be going on — he","book 1"
"yawned and turned over — it couldn’t affect them.…","book 1"
"How very wrong he was.","book 1"
"Mr. Dursley might have been drifting into an uneasy sleep, but the cat on","book 1"
"the wall outside was showing no sign of sleepiness. It was sitting as still as a","book 1"
"statue, its eyes fixed unblinkingly on the far corner of Privet Drive. It didn’t so","book 1"
"much as quiver when a car door slammed on the next street, nor when two owls","book 1"
"swooped overhead. In fact, it was nearly midnight before the cat moved at all.","book 1"
"A man appeared on the corner the cat had been watching, appeared so","book 1"
"suddenly and silently you’d have thought he’d just popped out of the ground.","book 1"
"The cat’s tail twitched and its eyes narrowed.","book 1"
"Nothing like this man had ever been seen on Privet Drive. He was tall,","book 1"
"thin, and very old, judging by the silver of his hair and beard, which were both","book 1"
"long enough to tuck into his belt. He was wearing long robes, a purple cloak that","book 1"
"swept the ground, and high-heeled, buckled boots. His blue eyes were light,","book 1"
"bright, and sparkling behind half-moon spectacles and his nose was very long","book 1"
"and crooked, as though it had been broken at least twice. This man’s name was","book 1"
"Albus Dumbledore.","book 1"
"Albus Dumbledore didn’t seem to realize that he had just arrived in a","book 1"
"street where everything from his name to his boots was unwelcome. He was","book 1"
"busy rummaging in his cloak, looking for something. But he did seem to realize","book 1"
"he was being watched, because he looked up suddenly at the cat, which was still","book 1"
"staring at him from the other end of the street. For some reason, the sight of the","book 1"
"cat seemed to amuse him. He chuckled and muttered, “I should have known.”","book 1"
"He found what he was looking for in his inside pocket. It seemed to be a","book 1"
"silver cigarette lighter. He flicked it open, held it up in the air, and clicked it. The","book 1"
"nearest street lamp went out with a little pop. He clicked it again — the next","book 1"
"lamp flickered into darkness. Twelve times he clicked the Put-Outer, until the","book 1"
"only lights left on the whole street were two tiny pinpricks in the distance, which","book 1"
"were the eyes of the cat watching him. If anyone looked out of their window","book 1"
"now, even beady-eyed Mrs. Dursley, they wouldn’t be able to see anything that","book 1"
"was happening down on the pavement. Dumbledore slipped the Put-Outer back","book 1"
"inside his cloak and set off down the street toward number four, where he sat","book 1"
"down on the wall next to the cat. He didn’t look at it, but after a moment he","book 1"
"spoke to it.","book 1"
"“Fancy seeing you here, Professor McGonagall.”","book 1"
"He turned to smile at the tabby, but it had gone. Instead he was smiling at","book 1"
"a rather severe-looking woman who was wearing square glasses exactly the","book 1"
"shape of the markings the cat had had around its eyes. She, too, was wearing a","book 1"
"cloak, an emerald one. Her black hair was drawn into a tight bun. She looked","book 1"
"distinctly ruffled.","book 1"
"“How did you know it was me?” she asked.","book 1"
"“My dear Professor, I’ve never seen a cat sit so stiffly.”","book 1"
"“You’d be stiff if you’d been sitting on a brick wall all day,” said","book 1"
"Professor McGonagall.","book 1"
"“All day? When you could have been celebrating? I must have passed a","book 1"
"dozen feasts and parties on my way here.”","book 1"
"Professor McGonagall sniffed angrily.","book 1"
"“Oh yes, I’ve celebrating, all right,” she said impatiently. “You’d think","book 1"
"they’d be a bit more careful, but no —even the Muggles have noticed","book 1"
"something’s going on. It was on their news.” She jerked her head back at the","book 1"
"Dursleys’ dark living-room window. “I heard it. Flocks of owls…shooting","book 1"
"stars…Well, they’re not completely stupid. They were bound to notice","book 1"
"something. Shooting stars down in Kent — I’ll bet that was Dedalus Diggle. He","book 1"
"never had much sense.”","book 1"
"“You can’t blame them,” said Dumbledore gently. “We’ve had precious","book 1"
"little to celebrate for eleven years.”","book 1"
"“I know that,” said Professor McGonagall irritably. “But that’s no reason","book 1"
"to lose our heads. People are being downright careless, out on the streets in","book 1"
"broad daylight, not even dressed in Muggle clothes, swapping rumors.”","book 1"
"She threw a sharp, sideways glance at Dumbledore here, as though","book 1"
"hoping he was going to tell her something, but he didn’t, so she went on. “A fine","book 1"
"thing it would be if, on the very day You-Know-Who seems to have disappeared","book 1"
"at last, the Muggles found out about us all. I suppose he really has gone,","book 1"
"Dumbledore?”","book 1"
"“It certainly seems so,” said Dumbledore. “We have much to be thankful","book 1"
"for. Would you care for a lemon drop?”","book 1"
"“A what?”","book 1"
"“A lemon drop. They’re a kind of Muggle sweet I’m rather fond of.”","book 1"
"“No, thank you,” said Professor McGonagall coldly, as though she didn’t","book 1"
"think this was the moment for lemon drops. “As I say, even if You-Know-Who","book 1"
"has gone —”","book 1"
"“My dear Professor, surely a sensible person like yourself can call him by","book 1"
"his name? All this ‘You-Know-Who’ nonsense — for eleven years I have been","book 1"
"trying to persuade people to call him by his proper name: Voldemort.” Professor","book 1"
"McGonagall flinched, but Dumbledore, who was unsticking two lemon drops,","book 1"
"seemed not to notice. “It all gets so confusing if we keep saying ‘You-Know-","book 1"
"Who.’ I have never seen any reason to be frightened of saying Voldemort’s","book 1"
"name.”","book 1"
"“I know you haven’t, said Professor McGonagall, sounding half","book 1"
"exasperated, half admiring. “But you’re different. Everyone knows you’re the","book 1"
"only one You-Know- oh, all right, Voldemort, was frightened of.”","book 1"
"“You flatter me,” said Dumbledore calmly. “Voldemort had powers I will","book 1"
"never have.”","book 1"
"“Only because you’re too — well — noble to use them.”","book 1"
"“It’s lucky it’s dark. I haven’t blushed so much since Madam Pomfrey","book 1"
"told me she liked my new earmuffs.”","book 1"
"Professor McGonagall shot a sharp look at Dumbledore and said “The","book 1"
"owls are nothing next to the rumors that are flying around. You know what","book 1"
"they’re saying? About why he’s disappeared? About what finally stopped him?”","book 1"
"It seemed that Professor McGonagall had reached the point she was most","book 1"
"anxious to discuss, the real reason she had been waiting on a cold, hard wall all","book 1"
"day, for neither as a cat nor as a woman had she fixed Dumbledore with such a","book 1"
"piercing stare as she did now. It was plain that whatever “everyone” was saying,","book 1"
"she was not going to believe it until Dumbledore told her it was true.","book 1"
"Dumbledore, however, was choosing another lemon drop and did not answer.","book 1"
"“What they’re saying,” she pressed on, “is that last night Voldemort","book 1"
"turned up in Godric’s Hollow. He went to find the Potters. The rumor is that Lily","book 1"
"and James Potter are — are — that they’re — dead.”","book 1"
"Dumbledore bowed his head. Professor McGonagall gasped.","book 1"
"“Lily and James…I can’t believe it…I didn’t want to believe it…Oh,","book 1"
"Albus…”","book 1"
"Dumbledore reached out and patted her on the shoulder. “I know…I","book 1"
"know…” he said heavily.","book 1"
"Professor McGonagall’s voice trembled as she went on. “That’s not all.","book 1"
"They’re saying he tried to kill the Potter’s son, Harry. But he couldn’t. He","book 1"
"couldn’t kill that little boy. No one knows why, or how, but they’re saying that","book 1"
"when he couldn’t kill Harry Potter, Voldemort’s power somehow broke — and","book 1"
"that’s why he’s gone.”","book 1"
"Dumbledore nodded glumly.","book 1"
"“It’s — it’s true?” faltered Professor McGonagall. “After all he’s done…","book 1"
"all the people he’s killed…he couldn’t kill a little boy? It’s just astounding…of","book 1"
"all the things to stop him…but how in the name of heaven did Harry survive?”","book 1"
"“We can only guess.” said Dumbledore. “We may never know.”","book 1"
"Professor McGonagall pulled out a lace handkerchief and dabbed at her","book 1"
"eyes beneath her spectacles. Dumbledore gave a great sniff as he took a golden","book 1"
"watch from his pocket and examined it. It was a very odd watch. It had twelve","book 1"
"hands but no numbers; instead, little planets were moving around the edge. It","book 1"
"must have made sense to Dumbledore, though, because he put it back in his","book 1"
"pocket and said, “Hagrid’s late. I suppose it was he who told you I’d be here, by","book 1"
"the way?”","book 1"
"“Yes,” said Professor McGonagall. “And I don’t suppose you’re going to","book 1"
"tell me why you’re here, of all places?”","book 1"
"“I’ve come to bring Harry to his aunt and uncle. They’re the only family","book 1"
"he has left now.”","book 1"
"“You don’t mean – you can’t mean the people who live here?” cried","book 1"
"Professor McGonagall, jumping to her feet and pointing at number four.","book 1"
"“Dumbledore — you can’t. I’ve been watching them all day. You couldn’t find","book 1"
"two people who are less like us. And they’ve got this son — I saw him kicking","book 1"
"his mother all the way up the street, screaming for sweets. Harry Potter come","book 1"
"and live here!”","book 1"
"“It’s the best place for him,” said Dumbledore firmly. “His aunt and","book 1"
"uncle will be able to explain everything to him when he’s older. I’ve written","book 1"
"them a letter.”","book 1"
"“A letter?” repeated Professor McGonagall faintly, sitting back down on","book 1"
"the wall. “Really, Dumbledore, you think you can explain all this in a letter?","book 1"
"These people will never understand him! He’ll be famous — a legend — I","book 1"
"wouldn’t be surprised if today was known as Harry Potter day in the future —","book 1"
"there will be books written about Harry — every child in our world will know","book 1"
"his name!”","book 1"
"“Exactly.” said Dumbledore, looking very seriously over the top of his","book 1"
"half-moon glasses. “It would be enough to turn any boy’s head. Famous before","book 1"
"he can walk and talk! Famous for something he won’t even remember! Can you","book 1"
"see how much better off he’ll be, growing up away from all that until he’s ready","book 1"
"to take it?”","book 1"
"Professor McGonagall opened her mouth, changed her mind, swallowed,","book 1"
"and then said, “Yes — yes, you’re right, of course. But how is the boy getting","book 1"
"here, Dumbledore?” She eyed his cloak suddenly as though she thought he might","book 1"
"be hiding Harry underneath it.","book 1"
"“Hagrid’s bringing him.”","book 1"
"“You think it — wise — to trust Hagrid with something as important as","book 1"
"this?”","book 1"
"“I would trust Hagrid with my life,” said Dumbledore.","book 1"
